,Año,Provincia,+ 30 Mbps,Total,Porcentaje
0,2022,Bs As,3618689,4721668,76.64
1,2022,Cap Fed,1253105,1547679,80.97
2,2022,Catamarca,50298,70293,71.55
3,2022,Chaco,79390,144146,55.08
4,2022,Chubut,17563,165778,10.59
5,2022,Córdoba,650344,1038668,62.61
6,2022,Corrientes,56950,144846,39.32
7,2022,Entre Ríos,102195,268959,38.0
8,2022,Formosa,17704,68538,25.83
9,2022,Jujuy,45895,118823,38.62
10,2022,La Pampa,22731,116092,19.58
11,2022,La Rioja,50390,86864,58.01
12,2022,Mendoza,150043,289523,51.82
13,2022,Misiones,80330,182157,44.1
14,2022,Neuquén,78713,163161,48.24
15,2022,Río Negro,42596,160558,26.53
16,2022,Salta,85661,204541,41.88
17,2022,San Juan,19221,103399,18.59
18,2022,San Luis,13,122070,0.01
19,2022,Santa Cruz,4604,49510,9.3
20,2022,Santa Fe,396352,887810,44.64
21,2022,Sgo del Est,12342,119032,10.37
22,2022,Tierra Fgo,1021,53896,1.89
23,2022,Tucumán,159600,263117,60.66
24,2021,Bs As,2482266,4251609,58.38
25,2021,Cap Fed,1075229,1413405,76.07
26,2021,Catamarca,26618,56254,47.32
27,2021,Chaco,49705,139871,35.54
28,2021,Chubut,1643,156066,1.05
29,2021,Córdoba,476459,946788,50.32
30,2021,Corrientes,35468,133819,26.5
31,2021,Entre Ríos,67961,260375,26.1
32,2021,Formosa,12707,52795,24.07
33,2021,Jujuy,29917,111158,26.91
34,2021,La Pampa,10506,100487,10.46
35,2021,Mendoza,21087,255939,8.24
36,2021,Misiones,42291,158528,26.68
37,2021,Neuquén,57919,139809,41.43
38,2021,Río Negro,34011,144585,23.52
39,2021,Salta,67010,195833,34.22
40,2021,San Juan,278,79483,0.35
41,2021,San Luis,22,117864,0.02
42,2021,Santa Cruz,678,48976,1.38
43,2021,Santa Fe,290793,841584,34.55
44,2021,Sgo del Est,6863,115458,5.94
45,2021,Tierra Fgo,976,50223,1.94
46,2021,Tucumán,115154,232472,49.53
