,Provincia,Localidad,FIBRAOPTICA
0,BUENOS AIRES,Villa Bordeau,NO
1,BUENOS AIRES,Villa Espora,NO
2,BUENOS AIRES,Balcarce,SI
3,BUENOS AIRES,Los Pinos,NO
4,BUENOS AIRES,Napaleofú,SI
5,BUENOS AIRES,Ramos Otero,NO
6,BUENOS AIRES,San Agustín,NO
7,BUENOS AIRES,Villa Laguna La Brava,NO
8,BUENOS AIRES,Baradero,SI
9,BUENOS AIRES,Irineo Portela,SI
10,BUENOS AIRES,Santa Coloma,NO
11,BUENOS AIRES,Villa Alsina (Est. Alsina),NO
12,BUENOS AIRES,Barker,SI
13,CHUBUT,Lago Rosario,NO
14,BUENOS AIRES,General Las Heras (Est. Las Heras),SI
15,BUENOS AIRES,La Choza,NO
16,BUENOS AIRES,Lozano,NO
17,BUENOS AIRES,Plomer,NO
18,BUENOS AIRES,Villars,SI
19,BUENOS AIRES,Chacras de San Clemente,NO
20,BUENOS AIRES,General Lavalle,SI
21,BUENOS AIRES,Pavón,SI
22,BUENOS AIRES,Barrio Río Salado,NO
23,BUENOS AIRES,Loma Verde,NO
24,BUENOS AIRES,Ranchos,SI
25,BUENOS AIRES,Villanueva (Ap. Río Salado),NO
26,BUENOS AIRES,Colonia San Ricardo (Est. Iriarte),NO
27,MISIONES,General Urquiza,NO
28,BUENOS AIRES,General Mansilla (Est. Bartolomé Bavio),SI
29,BUENOS AIRES,Los Naranjos,SI
30,BUENOS AIRES,Magdalena,NO
31,BUENOS AIRES,Roberto J. Payró,NO
32,BUENOS AIRES,Vieytes,SI
33,BUENOS AIRES,Las Armas,NO
34,BUENOS AIRES,Maipú,NO
35,BUENOS AIRES,Santo Domingo,NO
36,BUENOS AIRES,Area De Promocion El Triángulo,SI
37,BUENOS AIRES,Grand Bourg,SI
38,BUENOS AIRES,Ingeniero Adolfo Sourdeaux,SI
39,BUENOS AIRES,San Fernando,SI
40,BUENOS AIRES,Victoria,SI
41,BUENOS AIRES,Virreyes,SI
42,BUENOS AIRES,Acassuso,SI
43,BUENOS AIRES,Beccar,SI
44,BUENOS AIRES,Boulogne Sur Mer,SI
45,CABA,NUEVA POMPEYA,SI
46,CHACO,Fontana,SI
47,CHACO,Puerto Vilelas,SI
48,CHACO,Resistencia,SI
49,CHACO,Samuhú,NO
50,BUENOS AIRES,Desvío Aguirre,SI
51,BUENOS AIRES,Gardey,SI
52,BUENOS AIRES,María Ignacia (Est. Vela),NO
53,BUENOS AIRES,Tandil,SI
54,BUENOS AIRES,Crotto,NO
55,BUENOS AIRES,Tapalqué,NO
56,BUENOS AIRES,Velloso,NO
57,BUENOS AIRES,Benavídez,SI
58,BUENOS AIRES,Dique Luján,SI
59,CABA,FLORESTA,SI
60,CHUBUT,Los Cipreses,NO
61,CHUBUT,Trevelín,NO
62,CHUBUT,Villa Futalaufquen,NO
63,CHUBUT,28 de Julio,SI
64,CHUBUT,Dique Florentino Ameghino,NO
65,CHUBUT,Dolavon,SI
66,BUENOS AIRES,Martínez,SI
67,BUENOS AIRES,San Isidro,SI
68,BUENOS AIRES,Villa Adelina,SI
69,BUENOS AIRES,Bella Vista,SI
70,BUENOS AIRES,Campo De Mayo,NO
71,BUENOS AIRES,Muñiz,SI
72,CORDOBA,Canteras Quilpo,NO
73,CORDOBA,Cruz de Caña,NO
74,BUENOS AIRES,Berisso,SI
75,BUENOS AIRES,Los Talas,NO
76,BUENOS AIRES,Villa Arguello,SI
77,BUENOS AIRES,Villa Dolores,NO
78,BUENOS AIRES,Villa Independencia,NO
79,BUENOS AIRES,Villa Nueva,SI
80,BUENOS AIRES,Villa Porteña,NO
81,BUENOS AIRES,Villa Progreso,SI
82,BUENOS AIRES,Villa San Carlos,NO
83,BUENOS AIRES,Villa Zula,NO
84,BUENOS AIRES,Hale,NO
85,BUENOS AIRES,Juan F. Ibarra,NO
86,BUENOS AIRES,Mariano Unzué,NO
87,BUENOS AIRES,Paula,NO
88,BUENOS AIRES,Pirovano,NO
89,BUENOS AIRES,San Carlos de Bolívar (Est. Bolívar),NO
90,BUENOS AIRES,Urdampilleta,NO
91,BUENOS AIRES,Villa Lynch Pueyrredón,NO
92,BUENOS AIRES,Asamblea,NO
93,CABA,VILLA URQUIZA,SI
94,CORDOBA,Alpa Corral,NO
95,CORDOBA,Berrotarán,SI
96,CORDOBA,Bulnes,NO
97,CORDOBA,Chaján,SI
98,CORDOBA,Chucul,SI
99,CORDOBA,Coronel Baigorria,SI
100,CHACO,Villa Berthet,SI
101,CHACO,Capitán Solari,SI
102,CHACO,Colonia Elisa,NO
103,CHACO,Colonias Unidas,SI
104,CHACO,Ingeniero Barbet,NO
105,CHACO,Las Garcitas,NO
106,CHACO,Charadai,SI
107,CHACO,Cote Lai,NO
108,CHACO,Haumonía,NO
109,CHACO,Horquilla,NO
110,CHACO,La Sabana,NO
111,CHUBUT,Arroyo Verde,NO
112,CHUBUT,Puerto Madryn,SI
113,CHUBUT,Puerto Pirámide,NO
114,CHUBUT,Quinta El Mirador,NO
115,CORDOBA,Cruz del Eje,SI
116,CORDOBA,El Brete,SI
117,CORDOBA,El Rincón,NO
118,CORDOBA,Guanaco Muerto,NO
119,CORDOBA,La Banda,NO
120,CORDOBA,La Batea,NO
121,CORDOBA,La Higuera,NO
122,CORDOBA,Las Cañadas,NO
123,CORDOBA,Las Playas,SI
124,CORDOBA,Los Chañaritos,SI
125,CORDOBA,Media Naranja,NO
126,CORDOBA,Paso Viejo,NO
127,CORDOBA,San Marcos Sierra,SI
128,CORDOBA,Serrezuela,SI
129,CORDOBA,Tuclame,NO
130,BUENOS AIRES,Chapadmalal,SI
131,BUENOS AIRES,El Marquesado,NO
132,BUENOS AIRES,Estacion Camet,NO
133,BUENOS AIRES,Estación Chapadmalal,SI
134,BUENOS AIRES,Mar del Plata,SI
135,BUENOS AIRES,Punta Mogotes,NO
136,BUENOS AIRES,Sierra de los Padres,SI
137,BUENOS AIRES,Barrio Ruta 24 Kilómetro 10,SI
138,BUENOS AIRES,Country Club Bosque Real - Barrio Morabo,NO
139,CABA,ALMAGRO,SI
140,CHUBUT,Comodoro Rivadavia,SI
141,CHUBUT,Diadema Argentina,NO
142,CHUBUT,Km. 11 - Cuarteles,NO
143,CHUBUT,KM. 3 - General Mosconi,NO
144,CHUBUT,KM. 5 - Presidente Ortiz,NO
145,CHUBUT,KM. 8 - Don Bosco,NO
146,CABA,BOEDO,SI
147,CHUBUT,Rada Tilly,SI
148,CHUBUT,Camarones,NO
149,CHUBUT,Garayalde,NO
150,CHUBUT,Aldea Escolar,NO
151,CHUBUT,Corcovado,NO
152,CHUBUT,Esquel,NO
153,BUENOS AIRES,General Pirán,SI
